Main_Title,Sub_Title,Venue,Fees,Date,Links
Safety in Process Equipment Design & Operation,Risk Minimization Approach,Dubai,"$5,950",02 - 06 Mar 2026,https://glomacs.com/training-course/safety-in-process-equipment-design-operation
Operational Safety Management for Oil & Gas Professionals,Continuing Safe Operations,Online,"$3,950",09 - 13 Mar 2026,https://glomacs.com/training-course/operational-safety-management-for-oil-gas-professionals
Radiation Safety,Safely Working with Radioactive Materials,Dubai,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/radiation-safety
The Art of Advanced Communication for Healthcare Professionals,"Communication, Persuasion, and Influence with a Focus on Emotional Intelligence",Dubai,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/the-art-of-advanced-communication-for-healthcare-professionals
Storage & Handling of Toxic Chemicals and Hazardous Materials,Effective Management and Monitoring of Safe Operating Procedures,Online,"$3,950",23 - 27 Mar 2026,https://glomacs.com/training-course/storage-handling-of-toxic-chemicals-and-hazardous-materials
The Oxford Adaptive Leadership for Healthcare Management,"Improving Delegation, Managing Resources and Expectations, and Increasing Efficiency",Amsterdam,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/the-oxford-adaptive-leadership-for-healthcare-management
Behavioural Based Safety,Safe Person – Safe Workplace,Jeddah,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/behavioural-based-safety
Explosive Safety Area Management (ESAM),,Dhahran,"$5,950",23 - 27 Mar 2026,https://glomacs.com/training-course/explosive-safety-area-management-esam
Safety Technology & Risk Management,"Adopting a Systematic Approach to Risk Identification, Assessment and Management",Dubai,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/safety-technology-and-risk-management
Certified Fire Protection Specialist,Introduction to Fire Protection Principles and Practices,Dubai,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/certified-fire-protection-specialist
Developing and Sustaining an Effective Safety Culture,Delivering our Safety Visions and Beliefs,Riyadh,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/developing-and-sustaining-an-effective-safety-culture
Explosive Safety Management (ESM),,Taif,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/explosive-safety-management-esm
Ground Safety,,Dhahran,"$5,950",30 Mar - 03 Apr 2026,https://glomacs.com/training-course/ground-safety
IMO Model Training Course on OPRC: Level 1 - First Responders,,Online,"$3,950",06 - 10 Apr 2026,https://glomacs.com/training-course/imo-model-training-course-on-oprc-level-1-first-responders
Safety Audit & Site Inspection,Improvement through Measurement,Dubai,"$5,950",06 - 10 Apr 2026,https://glomacs.com/training-course/safety-audit-and-site-inspection
ISO 39001: Road Traffic Safety Management System,On the Road to ISO 39001,Online,"$3,950",13 - 17 Apr 2026,https://glomacs.com/training-course/iso-39001-road-traffic-safety-management-system
